Date,clicks
2017-01-08,466
2017-01-09,1188
2017-01-10,1145
2017-01-11,910
2017-01-12,481
2017-01-13,252
2017-01-14,170
2017-01-15,77
2017-01-16,176
2017-01-17,711
2017-01-18,539
2017-01-19,258
2017-01-20,319
2017-01-23,380
2017-01-24,274
2017-01-25,227
2017-01-26,147
2017-01-27,410
2017-01-28,263
2017-01-29,174
2017-01-30,448
2017-01-31,606
2017-02-01,1098
2017-02-02,645
2017-02-03,592
2017-02-04,169
2017-02-05,90
2017-02-06,836
2017-02-07,874
2017-02-08,1067
2017-02-09,705
2017-02-10,529
2017-02-11,113
2017-02-12,66
2017-02-13,590
2017-02-14,1125
2017-02-15,995
2017-02-16,750
2017-02-17,973
2017-02-18,157
2017-02-19,122
2017-02-20,713
2017-02-21,2117
2017-02-22,2510
2017-02-23,2046
2017-02-24,922
2017-02-25,226
2017-02-26,349
2017-02-27,882
2017-02-28,926
2017-03-01,966
2017-03-02,891
2017-03-03,693
2017-03-04,233
2017-03-05,217
2017-03-06,957
2017-03-07,948
2017-03-08,772
2017-03-09,686
2017-03-10,924
2017-03-11,116
2017-03-12,183
2017-03-13,1106
2017-03-14,707
2017-03-15,1502
2017-03-16,762
2017-03-17,693
2017-03-18,480
2017-03-19,137
2017-03-20,833
2017-03-21,937
2017-03-22,846
2017-03-23,735
2017-03-24,709
2017-03-25,160
2017-03-26,178
2017-03-27,739
2017-03-28,897
2017-03-29,663
2017-03-30,824
2017-03-31,513
2017-04-01,219
2017-04-02,205
2017-04-03,1073
2017-04-04,1170
2017-04-05,694
2017-04-06,941
2017-04-07,678
2017-04-08,272
2017-04-09,118
2017-04-10,729
2017-04-11,1104
2017-04-12,981
2017-04-13,1086
2017-04-14,748
2017-04-15,277
2017-04-16,335
2017-04-17,862
2017-04-18,735
2017-04-19,859
2017-04-20,679
2017-04-21,879
2017-04-22,166
2017-04-23,194
2017-04-24,962
2017-04-25,700
2017-04-26,957
2017-04-27,1089
2017-04-28,976
2017-04-29,103
2017-04-30,121
2017-05-01,948
2017-05-02,753
2017-05-03,836
2017-05-04,572
2017-05-05,521
2017-05-06,112
2017-05-07,203
2017-05-08,572
2017-05-09,632
2017-05-10,660
2017-05-11,848
2017-05-12,435
2017-05-13,113
2017-05-14,239
2017-05-15,780
2017-05-16,850
2017-05-17,725
2017-05-18,528
2017-05-19,410
2017-05-20,257
2017-05-21,169
2017-05-22,729
2017-05-23,903
2017-05-24,1111
2017-05-25,635
2017-05-26,471
2017-05-27,208
2017-05-28,311
2017-05-29,431
2017-05-30,1221
2017-05-31,829
2017-06-01,754
2017-06-02,844
2017-06-03,273
2017-06-04,346
2017-06-05,911
2017-06-06,685
2017-06-07,966
2017-06-08,480
2017-06-09,581
2017-06-10,171
2017-06-11,297
2017-06-12,913
2017-06-13,802
2017-06-14,648
2017-06-15,829
2017-06-16,826
2017-06-17,235
2017-06-18,118
2017-06-19,864
2017-06-20,937
2017-06-21,1140
2017-06-22,1083
2017-06-23,614
2017-06-24,239
2017-06-25,121
2017-06-26,881
2017-06-27,856
2017-06-28,855
2017-06-29,677
2017-06-30,502
2017-07-01,213
2017-07-02,148
2017-07-03,361
2017-07-04,235
2017-07-05,520
2017-07-06,692
2017-07-07,443
2017-07-08,175
2017-07-09,118
2017-07-10,1222
2017-07-11,1029
2017-07-12,1353
2017-07-13,830
2017-07-14,769
2017-07-15,301
2017-07-16,300
2017-07-17,1359
2017-07-18,1286
2017-07-19,709
2017-07-20,578
2017-07-21,525
2017-07-22,94
2017-07-23,96
2017-07-24,572
2017-07-25,649
2017-07-26,1688
2017-07-27,612
2017-07-28,698
2017-07-29,177
2017-07-30,123
2017-07-31,1001
2017-08-01,800
2017-08-02,795
2017-08-03,834
2017-08-04,830
2017-08-05,399
2017-08-06,368
2017-08-07,819
2017-08-08,626
2017-08-09,541
2017-08-10,524
2017-08-11,601
2017-08-12,255
2017-08-13,151
2017-08-14,1224
2017-08-15,1077
2017-08-16,658
2017-08-17,739
2017-08-18,724
2017-08-19,124
2017-08-20,114
2017-08-21,701
2017-08-22,821
2017-08-23,926
2017-08-24,795
2017-08-25,547
2017-08-26,84
2017-08-27,175
2017-08-28,864
2017-08-29,837
2017-08-30,1288
